2021-04-01 01:23:44 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2021-04-01 01:23:44 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2021-04-01 01:23:44 configure libc6:amd64 2.31-0ubuntu9 <none>
2021-04-01 01:23:44 status unpacked libc6:amd64 2.31-0ubuntu9
2021-04-01 01:23:44 status half-configured libc6:amd64 2.31-0ubuntu9
2021-04-01 01:23:45 status installed libc6:amd64 2.31-0ubuntu9
2021-04-01 01:23:45 configure libudev1:amd64 245.4-4ubuntu3 <none>
2021-04-01 01:23:45 status unpacked libudev1:amd64 245.4-4ubuntu3
2021-04-01 01:23:45 status half-configured libudev1:amd64 245.4-4ubuntu3
2021-04-01 01:23:45 status installed libudev1:amd64 245.4-4ubuntu3
2021-04-01 01:23:45 configure libsepol1:amd64 3.0-1 <none>
2021-04-01 01:23:45 status unpacked libsepol1:amd64 3.0-1
2021-04-01 01:23:45 status half-configured libsepol1:amd64 3.0-1
2021-04-01 01:23:45 status installed libsepol1:amd64 3.0-1
2021-04-01 01:23:45 configure libattr1:amd64 1:2.4.48-5 <none>
2021-04-01 01:23:45 status unpacked libattr1:amd64 1:2.4.48-5
2021-04-01 01:23:45 status half-configured libattr1:amd64 1:2.4.48-5
2021-04-01 01:23:45 status installed libattr1:amd64 1:2.4.48-5
2021-04-01 01:23:45 configure debianutils:amd64 4.9.1 <none>
2021-04-01 01:23:45 status unpacked debianutils:amd64 4.9.1
2021-04-01 01:23:45 status half-configured debianutils:amd64 4.9.1
2021-04-01 01:23:45 status installed debianutils:amd64 4.9.1
2021-04-01 01:23:45 configure mawk:amd64 1.3.4.20200120-2 <none>
2021-04-01 01:23:45 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-01 01:23:45 status half-configured mawk:amd64 1.3.4.20200120-2
2021-04-01 01:23:45 status installed mawk:amd64 1.3.4.20200120-2
2021-04-01 01:23:45 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2021-04-01 01:23:45 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2021-04-01 01:23:45 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2021-04-01 01:23:45 status installed libdebconfclient0:amd64 0.251ubuntu1
